               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050803,            0.025048,            0.016028,             0.48881,             0.62798,             0.58804,             0.19285,            0.037258,            0.012563,            0.011044,            0.031698,           0.0046983,           0.0046983
                  37,            0.075333,            0.028155,            0.027461,              0.5036,             0.62099,             0.61208,             0.20517,            0.036768,            0.012336,            0.011145,            0.029753,           0.0047528,           0.0047528
                  38,            0.067762,            0.027717,            0.020637,              0.6037,             0.63272,             0.64161,              0.2562,            0.036891,             0.01217,            0.010788,            0.027803,           0.0048033,           0.0048033
                  39,            0.050988,            0.035116,            0.019373,              0.6037,             0.63272,             0.64161,              0.2562,            0.036891,             0.01217,            0.010788,             0.02585,           0.0048498,           0.0048498
                  40,            0.064593,            0.041998,            0.015967,             0.47806,             0.62798,             0.54469,             0.21916,            0.037716,            0.012123,            0.010425,            0.023892,           0.0048924,           0.0048924
                  41,            0.050806,            0.026511,            0.018013,             0.74504,             0.63393,             0.76721,             0.27164,            0.033637,            0.011659,            0.010156,            0.021931,            0.004931,            0.004931
                  42,            0.063889,            0.039025,            0.018732,             0.74504,             0.63393,             0.76721,             0.27164,            0.033637,            0.011659,            0.010156,            0.019966,           0.0049657,           0.0049657
                  43,            0.065458,            0.027751,            0.034908,             0.31705,             0.67503,             0.46087,             0.14612,            0.042364,              0.0114,           0.0093781,            0.017996,           0.0049964,           0.0049964
                  44,            0.058192,            0.025819,            0.026269,             0.31705,             0.67503,             0.46087,             0.14612,            0.042364,              0.0114,           0.0093781,            0.016023,           0.0050232,           0.0050232
                  45,            0.067158,            0.027824,            0.033404,             0.50933,              0.4881,             0.60894,             0.25009,            0.033512,             0.01083,           0.0093506,            0.014046,            0.005046,            0.005046
                  46,            0.050197,            0.025577,            0.014805,             0.50933,              0.4881,             0.60894,             0.25009,            0.033512,             0.01083,           0.0093506,            0.012065,           0.0050648,           0.0050648
                  47,            0.061303,            0.022594,            0.029551,             0.64713,             0.57143,             0.72088,             0.29227,            0.035484,            0.010613,           0.0091904,             0.01008,           0.0050797,           0.0050797
                  48,              0.0608,            0.030528,             0.01544,             0.64713,             0.57143,             0.72088,             0.29227,            0.035484,            0.010613,           0.0091904,           0.0080906,           0.0050906,           0.0050906
                  49,            0.038371,            0.024805,            0.014044,             0.66218,             0.60437,             0.67613,             0.25321,            0.039679,            0.010127,           0.0087021,           0.0060975,           0.0050975,           0.0050975
                  50,             0.04994,            0.025529,            0.017503,             0.66218,             0.60437,             0.67613,             0.25321,            0.039679,            0.010127,           0.0087021,             0.00505,             0.00505,             0.00505
                  51,            0.050926,            0.019965,            0.024765,             0.70299,             0.72175,             0.72821,             0.29997,            0.037502,            0.010146,           0.0083847,             0.00505,             0.00505,             0.00505
                  52,            0.064271,            0.029902,            0.018222,             0.70299,             0.72175,             0.72821,             0.29997,            0.037502,            0.010146,           0.0083847,            0.004951,            0.004951,            0.004951
                  53,            0.050281,            0.023472,            0.017098,             0.57996,             0.60012,             0.64892,             0.29143,            0.036742,           0.0096648,           0.0077911,            0.004852,            0.004852,            0.004852
                  54,            0.050363,            0.026981,            0.015804,             0.57996,             0.60012,             0.64892,             0.29143,            0.036742,           0.0096648,           0.0077911,            0.004753,            0.004753,            0.004753
                  55,            0.067722,            0.023318,            0.016939,             0.60196,             0.64978,              0.7176,               0.285,            0.031807,            0.010479,            0.007309,            0.004654,            0.004654,            0.004654
                  56,            0.070616,            0.035088,            0.012724,             0.60196,             0.64978,              0.7176,               0.285,            0.031807,            0.010479,            0.007309,            0.004555,            0.004555,            0.004555
                  57,            0.065737,            0.026385,            0.022847,             0.71394,             0.57332,              0.7306,             0.31958,            0.031763,           0.0099018,           0.0069489,            0.004456,            0.004456,            0.004456
                  58,            0.067046,            0.022438,            0.014164,             0.71394,             0.57332,              0.7306,             0.31958,            0.031763,           0.0099018,           0.0069489,            0.004357,            0.004357,            0.004357
                  59,            0.050542,            0.023201,            0.014175,             0.70647,              0.6994,             0.81172,             0.35854,            0.033012,            0.010178,           0.0068481,            0.004258,            0.004258,            0.004258
                  60,            0.055573,            0.020383,            0.037444,             0.70647,              0.6994,             0.81172,             0.35854,            0.033012,            0.010178,           0.0068481,            0.004159,            0.004159,            0.004159
                  61,            0.056137,            0.032713,            0.017256,             0.78035,             0.73985,             0.82559,             0.35286,            0.032556,           0.0099947,           0.0066391,             0.00406,             0.00406,             0.00406
                  62,            0.047172,            0.032517,            0.012889,             0.78035,             0.73985,             0.82559,             0.35286,            0.032556,           0.0099947,           0.0066391,            0.003961,            0.003961,            0.003961
                  63,            0.057322,            0.031425,             0.01519,             0.69926,             0.76303,             0.79284,             0.36297,            0.032895,            0.010021,           0.0063095,            0.003862,            0.003862,            0.003862
                  64,            0.060854,             0.03125,            0.010958,             0.69926,             0.76303,             0.79284,             0.36297,            0.032895,            0.010021,           0.0063095,            0.003763,            0.003763,            0.003763
                  65,            0.049364,            0.036687,            0.011745,             0.81984,             0.75279,             0.86483,             0.38214,            0.027833,            0.010028,           0.0060181,            0.003664,            0.003664,            0.003664
                  66,            0.040467,            0.023493,            0.010856,             0.81984,             0.75279,             0.86483,             0.38214,            0.027833,            0.010028,           0.0060181,            0.003565,            0.003565,            0.003565
                  67,            0.046101,            0.027439,            0.012595,             0.66243,             0.73442,             0.76809,             0.36879,            0.034799,            0.010149,           0.0057053,            0.003466,            0.003466,            0.003466
                  68,            0.051355,             0.02318,            0.015329,             0.66243,             0.73442,             0.76809,             0.36879,            0.034799,            0.010149,           0.0057053,            0.003367,            0.003367,            0.003367
                  69,            0.051717,            0.021144,            0.015351,             0.84274,             0.76016,             0.89831,             0.46446,            0.025683,            0.010132,           0.0055328,            0.003268,            0.003268,            0.003268
                  70,            0.056907,            0.034733,            0.012418,             0.84274,             0.76016,             0.89831,             0.46446,            0.025683,            0.010132,           0.0055328,            0.003169,            0.003169,            0.003169
                  71,            0.051069,            0.024102,            0.021037,             0.79578,             0.81503,             0.83802,             0.40568,            0.027695,           0.0099103,           0.0055038,             0.00307,             0.00307,             0.00307
                  72,            0.056184,            0.031975,            0.014063,             0.79578,             0.81503,             0.83802,             0.40568,            0.027695,           0.0099103,           0.0055038,            0.002971,            0.002971,            0.002971
                  73,            0.057393,            0.024264,            0.017366,             0.65669,             0.79696,             0.81416,             0.41508,            0.026431,           0.0095971,           0.0053802,            0.002872,            0.002872,            0.002872
                  74,            0.038261,            0.025965,            0.011891,             0.65669,             0.79696,             0.81416,             0.41508,            0.026431,           0.0095971,           0.0053802,            0.002773,            0.002773,            0.002773
                  75,            0.047182,            0.021893,            0.012892,             0.75966,             0.81467,             0.93053,              0.4666,              0.0299,           0.0093658,           0.0052429,            0.002674,            0.002674,            0.002674
                  76,            0.056799,            0.029881,            0.018705,             0.75966,             0.81467,             0.93053,              0.4666,              0.0299,           0.0093658,           0.0052429,            0.002575,            0.002575,            0.002575
                  77,            0.046382,            0.026798,            0.011314,              0.6094,             0.87961,             0.86105,             0.39876,            0.025613,           0.0092118,           0.0050598,            0.002476,            0.002476,            0.002476
                  78,            0.045763,             0.02792,            0.013901,              0.6094,             0.87961,             0.86105,             0.39876,            0.025613,           0.0092118,           0.0050598,            0.002377,            0.002377,            0.002377
                  79,            0.056192,            0.044532,           0.0092869,             0.60746,             0.88154,             0.88111,             0.42392,             0.02783,           0.0090258,           0.0049423,            0.002278,            0.002278,            0.002278
